,player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
574,440,Felipe Anderson Pereira Gomes,Felipe Anderson,19,west_ham,WHU,MID,1.0,0.0,Joined Porto on loan until the end of the season on 6/10. - Expected back 01 Jul,2020-10-07T10:30:13.510025Z,n,2,0.0,0.3,0.1,440,419,397,188,191,184,446,190,0,4669,34933,0.0,0.0,0,0,-4,4,0.0,0.0,61,0,87,0,0,0,0,0,0,0,0,8,,,,,,
575,441,Sébastien Haller,Haller,19,west_ham,WHU,FWD,2.6,2.7,Joined Ajax on a permanent deal on 8/1. - Unknown return date,2021-01-08T17:30:20.025700Z,n,41,0.4,6.7,0.4,178,133,38,20,18,19,63,18,0,60477,75124,0.0,100.0,0,0,-4,4,0.0,2.7,61,2950,5696,3,0,3,12,0,0,0,4,113,,,,,,
576,442,Arthur Masuaku,Masuaku,19,west_ham,WHU,DEF,3.7,0.0,Knee injury - Unknown return date,2020-12-11T01:00:24.001672Z,i,37,0.0,8.4,0.6,206,87,221,79,21,60,182,50,1,220623,215345,0.0,0.0,0,0,-1,1,0.0,0.0,44,65,4292,0,1,4,12,0,0,0,4,179,,,,,,
577,443,Fabián Balbuena,Balbuena,19,west_ham,WHU,DEF,3.3,0.7,,2020-12-16T22:30:22.439778Z,a,40,0.2,9.1,1.8,113,370,197,43,136,47,211,65,0,284305,158500,100.0,100.0,0,0,-1,1,0.0,0.7,44,6675,20448,1,0,4,16,0,0,0,0,185,,,,,,
578,444,Jordan Hugill,Hugill,19,west_ham,WHU,FWD,0.0,0.0,Joined Norwich City on a permanent deal on 24/8,2020-08-24T18:30:13.532593Z,u,0,0.0,0.0,0.0,616,615,614,75,77,77,618,77,0,422,649,0.0,0.0,0,0,0,0,0.0,0.0,55,3,8,0,0,0,0,0,0,0,0,0,,,,,,
579,445,Jarrod Bowen,Bowen,19,west_ham,WHU,MID,4.0,2.3,,,a,68,0.4,10.8,3.2,108,44,24,38,31,13,30,19,2,633422,506390,,,-1,1,-2,2,0.0,2.3,63,4969,39498,4,2,5,18,0,0,0,5,216,3.0,,,,,
580,447,Albian Ajeti,Ajeti,19,west_ham,WHU,FWD,0.0,0.0,Transferred to Celtic,2020-08-15T12:28:02.359786Z,u,0,0.0,0.0,0.0,617,616,615,76,78,78,619,78,0,643,777,0.0,0.0,0,0,0,0,0.0,0.0,55,5,4,0,0,0,0,0,0,0,0,0,,,,,,
581,448,Declan Rice,Rice,19,west_ham,WHU,MID,2.5,2.3,,,a,42,0.5,8.8,2.5,95,70,160,31,48,89,93,53,0,152556,306906,,,0,0,-2,2,0.0,2.3,48,10229,11705,0,1,6,21,0,0,0,0,264,,,2.0,,,
582,449,Tomas Soucek,Soucek,19,west_ham,WHU,MID,4.5,6.2,,,a,77,1.2,14.8,11.6,28,178,19,9,110,11,27,16,3,1178260,544802,,,0,0,2,-2,0.0,6.2,52,178707,51422,5,1,6,21,0,0,0,10,250,,,,,,
583,450,Pablo Fornals,Fornals,19,west_ham,WHU,MID,3.9,1.8,,,a,62,0.3,10.2,0.8,159,112,51,62,75,26,74,43,0,261437,225867,,,0,0,-4,4,0.0,1.8,61,924,6725,2,4,6,15,0,0,0,5,167,,,,,,
584,451,Issa Diop,Diop,19,west_ham,WHU,DEF,1.0,0.3,,2020-09-22T20:00:14.006404Z,a,4,0.1,0.9,0.5,315,400,482,120,154,195,375,137,0,14164,92245,100.0,100.0,0,0,-2,2,0.0,0.3,43,546,1300,0,0,0,5,0,0,0,0,40,,,,,,
585,452,Ben Johnson,Johnson,19,west_ham,WHU,DEF,2.5,1.3,,,a,10,0.3,2.6,3.3,344,386,326,132,146,114,377,139,0,236184,193860,,,0,0,-1,1,0.0,1.3,39,17093,16186,1,0,0,2,0,0,0,0,32,,,,,,
