player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
416,Kenneth Zohore,Zohore,18,west_brom,WBA,FWD,0.0,0.0,Joined Millwall on loan until January on 16/10,2020-09-06T03:00:11.234287Z,u,0,0.0,0.0,0.0,604,595,588,71,73,74,607,74,0,3025,8913,0.0,0.0,0,0,-2,2,0.0,0.0,48,17,104,0,0,0,0,0,0,0,0,0,,,,,,
417,Sam Johnstone,Johnstone,18,west_brom,WBA,GKP,3.1,1.2,,,a,56,0.3,12.4,2.8,5,542,532,1,53,49,113,1,1,324789,174960,,,0,0,0,0,-0.3,1.4,45,7113,14935,0,0,2,41,0,0,78,7,345,,,,,,
418,Conor Townsend,Townsend,18,west_brom,WBA,DEF,3.0,0.0,Knee injury - 50% chance of playing,2020-12-01T23:30:25.810294Z,d,24,0.0,5.5,0.1,227,214,264,88,50,82,258,85,0,12199,15920,50.0,50.0,0,0,-1,1,-0.8,-0.5,44,33,133,0,0,2,10,0,0,0,3,128,,,,,,
419,Oluwasemilogo Adesewo Ibidapo Ajayi,Ajayi,18,west_brom,WBA,DEF,2.1,3.2,,,a,38,0.7,7.9,0.3,51,306,198,16,97,50,162,41,0,22399,30749,,,0,0,-2,2,1.7,5.4,48,3050,1454,2,1,1,43,0,0,0,2,225,,,,,,
420,Jonathan Leko,Leko,18,west_brom,WBA,MID,0.0,0.0,Joined Birmingham City on a permanent deal on 28/8,2020-08-28T12:30:11.345089Z,u,0,0.0,0.0,0.0,557,546,536,210,211,211,564,212,0,1465,3938,0.0,0.0,0,0,0,0,0.0,0.0,45,20,53,0,0,0,0,0,0,0,0,0,,,,,,
421,Kyle Edwards,Edwards,18,west_brom,WBA,MID,1.0,0.0,,,a,5,0.0,1.1,0.0,417,355,283,180,177,144,388,172,0,878,2579,,,0,0,-3,3,-1.5,-1.0,47,33,40,0,0,0,3,0,0,0,0,15,,,,,,
422,Darnell Furlong,Furlong,18,west_brom,WBA,DEF,2.2,0.8,,,a,40,0.2,8.9,0.3,107,117,119,43,22,18,101,22,0,46182,36796,,,0,0,0,0,-0.7,0.6,45,623,2451,1,2,2,35,0,0,0,2,213,,,,,,
423,Sam Field,Field,18,west_brom,WBA,MID,1.0,0.0,,2020-10-22T17:00:17.139994Z,a,3,0.0,0.6,0.0,399,426,594,173,193,241,432,188,0,818,2235,100.0,50.0,0,0,-2,2,-1.5,-0.5,48,61,21,0,0,0,2,0,0,0,0,16,,,,,,
425,Dara O'Shea,O'Shea,18,west_brom,WBA,DEF,0.9,0.6,,,a,13,0.1,3.0,0.2,112,257,290,45,66,94,216,68,0,10373,21155,,,0,0,-2,2,-0.9,0.2,43,311,573,0,0,0,35,0,0,0,0,144,,,,,,
426,Rekeem Harper,Harper,18,west_brom,WBA,MID,1.0,0.2,Joined Birmingham City on loan until the end of the season. - Expected back 24 May,2021-01-24T15:00:26.910743Z,u,2,0.0,0.5,0.6,439,408,377,188,191,179,439,189,0,66429,68604,0.0,,0,0,-2,2,0.0,-0.6,43,2606,4040,0,0,0,2,0,0,0,0,7,,,,,,
428,Robert Snodgrass,Snodgrass,18,west_brom,WBA,MID,1.2,0.4,,2020-09-03T14:30:12.052712Z,a,5,0.1,0.9,0.1,411,407,320,177,190,162,410,181,0,2946,9480,100.0,100.0,0,0,-3,3,-1.1,-0.2,57,326,329,0,0,0,2,0,0,0,0,22,,,,,,
446,Grady Diangana,Diangana,18,west_brom,WBA,MID,2.2,1.0,,,a,33,0.2,6.5,0.2,214,198,126,88,121,68,199,97,0,44993,74077,,,0,0,-4,4,-0.5,1.0,51,81,724,1,0,1,28,0,0,0,0,95,6.0,,,,,
481,Matheus Pereira,Pereira,18,west_brom,WBA,MID,3.9,6.2,,2020-12-06T15:00:25.943431Z,a,58,1.1,10.4,0.9,84,19,90,28,15,49,40,26,1,239224,387455,100.0,100.0,0,0,-4,4,4.7,11.4,56,20635,5977,4,3,2,30,0,0,0,5,233,2.0,,1.0,,,
499,Cedric Kipre,Kipre,18,west_brom,WBA,DEF,0.0,0.0,,,a,0,0.0,0.0,0.0,524,508,493,204,205,195,532,205,0,1096,4306,,,0,0,-2,2,-1.5,-1.0,43,63,73,0,0,0,0,0,0,0,0,0,,,,,,
530,Branislav Ivanovic,Ivanovic,18,west_brom,WBA,DEF,1.6,0.4,,2020-11-08T14:30:17.320180Z,a,18,0.1,4.0,0.1,260,357,239,100,131,71,309,102,0,18759,16682,100.0,100.0,0,0,0,0,-1.1,-0.2,45,142,479,0,0,2,18,0,0,0,0,113,,,,,,
544,Conor Gallagher,Gallagher,18,west_brom,WBA,MID,2.6,1.2,,2021-01-03T00:00:24.189740Z,a,37,0.2,6.7,0.1,144,146,112,53,93,63,133,72,0,17492,15046,100.0,0.0,0,0,0,0,-0.3,0.0,55,212,473,2,0,2,27,0,0,0,3,173,3.0,,,,,
555,Filip Krovinovic,Krovinovic,18,west_brom,WBA,MID,1.5,0.2,His season-long loan deal with West Brom was cancelled on 22/1,2021-01-24T15:00:27.165365Z,u,17,0.0,3.5,0.0,312,175,266,136,107,136,286,134,0,1547,1534,0.0,,0,0,-1,1,0.0,-0.6,49,28,45,0,0,1,11,0,0,0,0,97,4.0,,,,,
582,Karlan Grant,Grant,18,west_brom,WBA,FWD,2.4,0.8,,2021-01-03T00:00:24.231542Z,a,29,0.1,5.0,0.0,303,236,75,36,38,32,214,35,0,11735,11160,100.0,0.0,0,0,-2,2,-0.7,0.0,58,76,294,1,0,3,15,0,0,0,3,70,,,3.0,,,
600,Lee Peltier,Peltier,18,west_brom,WBA,DEF,0.0,0.0,,,a,0,0.0,0.0,0.1,407,368,430,161,137,169,420,157,0,7843,5682,,,0,0,0,0,-1.5,-1.0,40,306,378,0,0,0,5,0,0,0,0,12,,,,,,
621,Cheikh Diaby,Diaby,18,west_brom,WBA,FWD,0.0,0.0,,,a,0,0.0,0.0,0.0,586,574,563,69,71,71,590,72,0,5276,2198,,,0,0,0,0,-1.5,-1.0,45,1223,845,0,0,0,0,0,0,0,0,0,,,,,,
639,Andy Lonergan,Lonergan,18,west_brom,WBA,GKP,0.0,0.0,,,a,0,0.0,0.0,0.0,472,450,427,36,8,3,480,36,0,655,106,,,0,0,0,0,-0.5,1.0,40,655,106,0,0,0,0,0,0,0,0,0,,,,,,
